section,method,training_mode,train_graph,infer_graph,variant,n_eval_spots,n_reference_domains,n_predicted_domains,ari,nmi,pas,chaos
151509,graphst,sampled,annotation,spatial,mclust_refined,4788,7,7,0.4290183926507505,0.5973183994158833,0.9151837928153718,0.0535043160848431
151510,graphst,sampled,annotation,spatial,mclust_refined,4595,7,7,0.5147958845284945,0.6586552254387202,0.9163873775843308,0.055650337164434
151669,graphst,sampled,annotation,spatial,mclust_refined,3636,5,5,0.4682381132592427,0.5948337007343368,0.9434268426842684,0.0611824113007247
151670,graphst,sampled,annotation,spatial,mclust_refined,3484,5,5,0.3719131991386035,0.4865472156450486,0.9592135476463834,0.0603082125706661
151671,graphst,sampled,annotation,spatial,mclust_refined,4093,5,5,0.6412196963852537,0.7450270202812563,0.945785487417542,0.0577361889319201
151672,graphst,sampled,annotation,spatial,mclust_refined,3888,5,5,0.6665358471912304,0.7256380137056361,0.9433641975308642,0.0595314520969079
151673,graphst,sampled,annotation,spatial,mclust_refined,3611,7,7,0.6069587874511965,0.7272780644729845,0.889227360841872,0.0605003588012506
151674,graphst,sampled,annotation,spatial,mclust_refined,3635,7,7,0.486517562010702,0.6185739141546763,0.9103713892709766,0.0598145028553883
151675,graphst,sampled,annotation,spatial,mclust_refined,3566,7,7,0.4882842943190632,0.6297918038228145,0.9092821088053842,0.0603330064270823
151676,graphst,sampled,annotation,spatial,mclust_refined,3431,7,7,0.567428201404404,0.6569208261360308,0.9039055668901196,0.062358875597099
151507,graphst,sampled,spatial,annotation,mclust_refined,4221,7,7,0.4956927944080976,0.6813232235697337,0.9284766642975598,0.0562594508006174
151508,graphst,sampled,spatial,annotation,mclust_refined,4381,7,7,0.4817412508998494,0.6290080850250116,0.9271627482309976,0.0551030770339803
151509,graphst,sampled,spatial,annotation,mclust_refined,4788,7,7,0.4288720615413712,0.6118705138856607,0.9250835421888054,0.0535088595019555
151510,graphst,sampled,spatial,annotation,mclust_refined,4595,7,7,0.4249341751311625,0.6039991837679152,0.9188030467899893,0.0551537177333097
151669,graphst,sampled,spatial,annotation,mclust_refined,3636,5,5,0.2791057167303698,0.511648525519129,0.9451045104510452,0.0611956754190305
151670,graphst,sampled,spatial,annotation,mclust_refined,3484,5,5,0.4622862652454924,0.5955221378253168,0.941963260619977,0.0603009628985661
151671,graphst,sampled,spatial,annotation,mclust_refined,4093,5,5,0.6429781454750851,0.7476577716900495,0.9461763987295382,0.0577348616629267
151672,graphst,sampled,spatial,annotation,mclust_refined,3888,5,5,0.6729180715088046,0.7305716582863635,0.9439300411522634,0.0595204156371948
151673,graphst,sampled,spatial,annotation,mclust_refined,3611,7,7,0.6253606414853038,0.7350802685456369,0.891359734145666,0.0604858471570976
151674,graphst,sampled,spatial,annotation,mclust_refined,3635,7,7,0.6206143358963012,0.7055882156034389,0.9139477303988996,0.0597716519292585
151675,graphst,sampled,spatial,annotation,mclust_refined,3566,7,7,0.5964816489187278,0.6812160849545082,0.8936623667975323,0.0603335485891527
151676,graphst,sampled,spatial,annotation,mclust_refined,3431,7,7,0.5814807192196069,0.6732277651760673,0.9007286505392014,0.0624195406836333
151507,graphst,sampled,spatial,spatial,mclust_refined,4221,7,7,0.4463958571664281,0.6553838642838924,0.9300876569533286,0.0562590616246533
151508,graphst,sampled,spatial,spatial,mclust_refined,4381,7,7,0.4383653353493158,0.627397578915524,0.9380963250399452,0.0552869013039244
151509,graphst,sampled,spatial,spatial,mclust_refined,4788,7,7,0.424745870788855,0.5881420743190688,0.9166666666666666,0.0535025926673425
151510,graphst,sampled,spatial,spatial,mclust_refined,4595,7,7,0.4309069480504953,0.6016506761670765,0.9164091403699672,0.0552407695928187
151669,graphst,sampled,spatial,spatial,mclust_refined,3636,5,5,0.488871984171121,0.6366297924243633,0.9417216721672168,0.061180796979241
151670,graphst,sampled,spatial,spatial,mclust_refined,3484,5,5,0.6392123635461243,0.5976352783798403,0.9549368541905856,0.0602921341220787
151671,graphst,sampled,spatial,spatial,mclust_refined,4093,5,5,0.6339106281510061,0.7385333117424775,0.9452479843635476,0.0577362359542657
151672,graphst,sampled,spatial,spatial,mclust_refined,3888,5,5,0.655773663165323,0.7171280994388061,0.9440843621399176,0.059521454517132
151673,graphst,sampled,spatial,spatial,mclust_refined,3611,7,7,0.6121876451439324,0.7297565316002571,0.8867349764608142,0.0604843905594627
151674,graphst,sampled,spatial,spatial,mclust_refined,3635,7,7,0.4803494227656468,0.6183558941862851,0.9117469050894084,0.059786844465225
151675,graphst,sampled,spatial,spatial,mclust_refined,3566,7,6,0.5540822754962652,0.6774939030636089,0.912983735277622,0.0603287899987566
151676,graphst,sampled,spatial,spatial,mclust_refined,3431,7,7,0.5524910612612589,0.6494271174125795,0.9057709122704752,0.0624516042314656
151507,graphst,whole,annotation,annotation,mclust_refined,4221,7,7,0.5867255194015364,0.7203965587526315,0.9255863539445628,0.056258429650132
151508,graphst,whole,annotation,annotation,mclust_refined,4381,7,7,0.5474365557182467,0.6449741347521838,0.9270029673590504,0.0551075584878194
151509,graphst,whole,annotation,annotation,mclust_refined,4788,7,7,0.3704689883067432,0.5778784032952863,0.9271512113617376,0.053496365401514
151510,graphst,whole,annotation,annotation,mclust_refined,4595,7,7,0.4746417782861203,0.621865436821649,0.9188248095756256,0.0551517001176816
151669,graphst,whole,annotation,annotation,mclust_refined,3636,5,5,0.4547526551734785,0.595820298257452,0.9366336633663368,0.0616701085678271
151670,graphst,whole,annotation,annotation,mclust_refined,3484,5,5,0.4480912178220986,0.5524234743908192,0.9430252583237658,0.0602960702022159
151671,graphst,whole,annotation,annotation,mclust_refined,4093,5,5,0.6230374818557883,0.7373875122482489,0.9457121915465428,0.057746563596952
151672,graphst,whole,annotation,annotation,mclust_refined,3888,5,5,0.6243190745974531,0.6974295941516276,0.9420010288065844,0.0595210097829903
151673,graphst,whole,annotation,annotation,mclust_refined,3611,7,7,0.6315174604234721,0.7307979020148289,0.8936582664081971,0.0604851929678864
151674,graphst,whole,annotation,annotation,mclust_refined,3635,7,7,0.5290431082403322,0.6358848160289864,0.915515818431912,0.0597916434578113
151675,graphst,whole,annotation,annotation,mclust_refined,3566,7,7,0.4981581872338895,0.6469413875266209,0.9168816601233876,0.0603279876804474
151676,graphst,whole,annotation,annotation,mclust_refined,3431,7,7,0.5550680622473295,0.646204465615803,0.915097639172253,0.0623691704825799
151507,graphst,whole,annotation,spatial,mclust_refined,4221,7,7,0.4359685489420613,0.6478126671190262,0.9356313669746504,0.0562562723019884
151508,graphst,whole,annotation,spatial,mclust_refined,4381,7,7,0.4614204881856488,0.6257134681781313,0.9281670851403788,0.0550775693275749
151509,graphst,whole,annotation,spatial,mclust_refined,4788,7,7,0.4200437304903997,0.5910109581924473,0.912781954887218,0.0536023648550684
151510,graphst,whole,annotation,spatial,mclust_refined,4595,7,7,0.4472491892557126,0.6073318553301416,0.9189336235038084,0.0551435419096494
151669,graphst,whole,annotation,spatial,mclust_refined,3636,5,5,0.2761001047621903,0.4709182835559213,0.9414191419141914,0.0618279498511815
151670,graphst,whole,annotation,spatial,mclust_refined,3484,5,5,0.4478467438681024,0.5471126899325915,0.9431687715269804,0.0602921132205801
151671,graphst,whole,annotation,spatial,mclust_refined,4093,5,5,0.6168649507672528,0.7296847579951145,0.946494014170535,0.0577360926432131
151672,graphst,whole,annotation,spatial,mclust_refined,3888,5,5,0.6151362099451061,0.6944574518085652,0.9421039094650204,0.0596016776212434
151673,graphst,whole,annotation,spatial,mclust_refined,3611,7,7,0.5954400058220071,0.6941423153113574,0.904375519246746,0.0604834904717009
151674,graphst,whole,annotation,spatial,mclust_refined,3635,7,7,0.4651173169919597,0.6053103693692538,0.918019257221458,0.0597946765672627
151675,graphst,whole,annotation,spatial,mclust_refined,3566,7,7,0.5518593590184511,0.6456024773993937,0.9109366236679752,0.0603461288317932
151676,graphst,whole,annotation,spatial,mclust_refined,3431,7,7,0.4765171108364153,0.6206203160954821,0.9091518507723696,0.0623564250218684
151507,graphst,whole,spatial,annotation,mclust_refined,4221,7,7,0.4670060900329777,0.6468206096687149,0.9135512911632314,0.0562725693869452
151508,graphst,whole,spatial,annotation,mclust_refined,4381,7,7,0.44247251937694,0.6362889892057432,0.9413375941565852,0.055533880659311
151509,graphst,whole,spatial,annotation,mclust_refined,4788,7,7,0.3935519501027167,0.5647682270908655,0.926670843776107,0.0535151420245198
151510,graphst,whole,spatial,annotation,mclust_refined,4595,7,7,0.4525717775105561,0.6112914367754025,0.9200435255712732,0.055142428872638
151669,graphst,whole,spatial,annotation,mclust_refined,3636,5,5,0.2881452495452809,0.479204550672129,0.941116611661166,0.0611808579092291
151670,graphst,whole,spatial,annotation,mclust_refined,3484,5,5,0.3825079179903055,0.5132346729664817,0.9365958668197474,0.0603436440546579
151671,graphst,whole,spatial,annotation,mclust_refined,4093,5,5,0.6236470467330453,0.7411866016746961,0.9454923039335452,0.0577360481887816
151672,graphst,whole,spatial,annotation,mclust_refined,3888,5,5,0.6386705357767846,0.711721518601104,0.9429012345679012,0.0595198279090912
151673,graphst,whole,spatial,annotation,mclust_refined,3611,7,7,0.6190809816761844,0.7204130669404376,0.8925782331764054,0.0612016296023062
151674,graphst,whole,spatial,annotation,mclust_refined,3635,7,7,0.4028439866815289,0.5481067603148309,0.9234112792297112,0.0597778747568334
151675,graphst,whole,spatial,annotation,mclust_refined,3566,7,7,0.4753218692611833,0.5947547216821429,0.9252383623107124,0.0605528773161747
151676,graphst,whole,spatial,annotation,mclust_refined,3431,7,7,0.5697229110603101,0.6621365096830781,0.9074030894782862,0.0624993767244431
151507,graphst,whole,spatial,spatial,mclust_refined,4221,7,7,0.4956794894356155,0.6579980140796563,0.9374081971096896,0.0562555257157018
151508,graphst,whole,spatial,spatial,mclust_refined,4381,7,7,0.4606179311402598,0.6289089941134793,0.928326866012326,0.0551885109214728
151509,graphst,whole,spatial,spatial,mclust_refined,4788,7,7,0.4676354237013558,0.6492547228468957,0.9202380952380952,0.0535001950339354
151510,graphst,whole,spatial,spatial,mclust_refined,4595,7,7,0.4637610824766002,0.6360477611475542,0.9274211099020676,0.0551347334992433
151669,graphst,whole,spatial,spatial,mclust_refined,3636,5,5,0.4578804593558631,0.6096613463741228,0.9357810781078107,0.0611813008301267
151670,graphst,whole,spatial,spatial,mclust_refined,3484,5,5,0.4520340361712535,0.5481594100176362,0.9416188289322618,0.0603012811317403
151671,graphst,whole,spatial,spatial,mclust_refined,4093,5,5,0.6149507252010505,0.7324434855703548,0.9454434400195456,0.0577468297066466
151672,graphst,whole,spatial,spatial,mclust_refined,3888,5,5,0.6248851145983435,0.7047400437414707,0.9435442386831276,0.0595192384925265
151673,graphst,whole,spatial,spatial,mclust_refined,3611,7,7,0.5999670161549818,0.7092585143780163,0.9046801440044308,0.060499336804827
151674,graphst,whole,spatial,spatial,mclust_refined,3635,7,7,0.4805094572088541,0.6113965583931239,0.915515818431912,0.0597756443980448
151675,graphst,whole,spatial,spatial,mclust_refined,3566,7,7,0.4928861330276808,0.6163015149467271,0.9168536174985978,0.0603706055415687
151676,graphst,whole,spatial,spatial,mclust_refined,3431,7,7,0.4881335917142502,0.61900801073975,0.9173418828329932,0.0623565394819345
151507,stagate,fullneighbors,annotation,annotation,mclust,4221,7,7,0.5387556746704423,0.687961223161064,0.87742241175077,0.0569349280900419
151508,stagate,fullneighbors,annotation,annotation,mclust,4381,7,7,0.4314058549782038,0.6166781877127018,0.8683633873544853,0.0565998105880587
151509,stagate,fullneighbors,annotation,annotation,mclust,4788,7,7,0.5178419961548494,0.6742127498212783,0.8780701754385964,0.0544197371176933
151510,stagate,fullneighbors,annotation,annotation,mclust,4595,7,7,0.545970512907349,0.6553570773539029,0.8674863982589771,0.0556355147985293
151669,stagate,fullneighbors,annotation,annotation,mclust,3636,5,5,0.2823195420007544,0.4987200839543699,0.9032453245324532,0.0615686448490075
151670,stagate,fullneighbors,annotation,annotation,mclust,3484,5,5,0.4366757328635662,0.5713522620609297,0.9024971297359357,0.0610663440529726
151671,stagate,fullneighbors,annotation,annotation,mclust,4093,5,5,0.5609130319005539,0.6671699579881122,0.9084778890789152,0.058608666806574
151672,stagate,fullneighbors,annotation,annotation,mclust,3888,5,5,0.6334729775480201,0.7080166598750175,0.9192901234567902,0.0602725680472451
151673,stagate,fullneighbors,annotation,annotation,mclust,3611,7,7,0.5778187655452175,0.6881481966703474,0.8474383827194683,0.0612027645041465
151674,stagate,fullneighbors,annotation,annotation,mclust,3635,7,7,0.413356172614074,0.5513985086333993,0.9062448418156808,0.0613728584723238
