sample,x,y,cluster
Benign04,2621.9,3430.1,3
Benign04,2069.2,3631.8,3
Benign04,4093.3,4043.3,3
Benign04,5240.4,2219.5,3
Benign04,3640.9,1398.2,3
Benign04,4094.9,1057.5,3
Benign04,3742.0,3418.3,3
Benign04,1914.8,3461.0,3
Benign04,5495.0,3455.2,3
Benign04,3185.0,1675.6,3
Benign04,2459.1,4250.5,3
Benign04,3204.8,3833.9,3
Benign04,2005.9,2455.9,3
Benign04,3990.9,1705.1,3
Benign04,3156.2,2815.3,3
Benign04,3406.4,3203.1,3
Benign04,1467.3,2935.7,3
Benign04,4088.7,935.64,3
Benign04,2398.8,1397.3,3
Benign04,3425.1,4637.9,3
Benign04,5178.5,3392.3,3
Benign04,2377.6,3182.9,3
Benign04,4807.4,2821.8,3
Benign04,3613.6,3583.1,3
Benign04,4786.7,2298.3,4
Benign04,3303.8,3302.2,3
Benign04,3297.0,3734.8,3
Benign04,5092.1,3624.3,3
Benign04,5154.2,3326.6,3
Benign04,2160.2,3655.9,3
Benign04,1306.2,3560.1,3
Benign04,3454.5,5107.7,3
Benign04,1977.1,4721.5,3
Benign04,3662.6,3494.4,2
Benign04,4999.0,3190.1,3
Benign04,2068.5,4202.7,3
Benign04,2135.5,3454.4,3
Benign04,3929.3,1980.0,3
Benign04,1845.6,3805.4,3
Benign04,2910.9,1392.4,3
Benign04,4184.9,3016.3,3
Benign04,1615.5,2885.8,3
Benign04,1564.6,3153.6,3
Benign04,4915.6,3089.8,3
Benign04,4030.3,3113.2,3
Benign04,1445.9,2948.5,3
Benign04,5031.1,2818.1,3
Benign04,3846.0,1206.8,3
Benign04,2183.1,3929.1,3
Benign04,3383.5,1956.4,3
Benign04,4760.7,3407.1,3
Benign04,4745.9,3363.3,3
Benign04,3210.3,4928.1,3
Benign04,4620.4,2581.4,3
Benign04,5285.7,3553.2,3
Benign04,3561.8,2590.6,3
Benign04,2685.3,3409.6,3
Benign04,4766.5,3348.3,3
Benign04,5562.8,3199.3,3
Benign04,4293.8,5339.0,2
Benign04,1329.2,3328.3,3
Benign04,2908.7,1615.3,3
Benign04,4319.4,2372.1,3
Benign04,2982.7,5006.0,3
Benign04,1924.9,2444.1,3
Benign04,2003.1,2123.2,3
Benign04,2588.9,2063.7,3
Benign04,2967.3,3448.1,3
Benign04,2612.7,1878.2,3
Benign04,2996.9,3584.3,3
Benign04,4891.0,3971.8,3
Benign04,2060.4,4159.3,3
Benign04,3129.3,3791.8,3
Benign04,1709.5,2674.7,3
Benign04,5286.2,2333.2,3
Benign04,1868.8,1937.9,3
Benign04,5029.4,3276.5,3
Benign04,2903.1,905.63,3
Benign04,5242.6,3061.5,3
Benign04,5270.5,3266.9,3
Benign04,4200.0,3998.9,3
Benign04,3480.7,4458.0,2
Benign04,5201.7,2171.4,3
Benign04,4083.0,4789.9,2
Benign04,4217.2,2825.7,3
Benign04,5032.8,2071.2,3
Benign04,3979.7,5227.8,3
Benign04,2992.1,917.41,3
Benign04,5520.8,2729.6,3
Benign04,1627.2,2459.3,3
Benign04,4483.5,1455.0,3
Benign04,4879.0,3711.8,3
Benign04,1337.6,2686.8,3
Benign04,1312.4,3607.3,2
Benign04,5469.8,2763.4,3
Benign04,3712.5,2963.1,3
Benign04,3684.6,3284.7,3
Benign04,2190.7,1254.3,4
Benign04,2693.3,2162.3,3
Benign04,3234.9,3744.1,3
Benign04,4091.3,4616.6,3
Benign04,3774.8,3754.7,3
Benign04,3173.8,3686.9,3
Benign04,1986.2,1068.6,3
Benign04,2498.8,3936.2,3
Benign04,1944.0,4740.1,3
Benign04,2543.2,3949.7,2
Benign04,2897.1,4566.6,3
Benign04,2594.5,3308.8,3
Benign04,5178.2,2471.5,3
Benign04,5103.0,2675.6,3
Benign04,4834.5,2143.7,3
Benign04,3700.4,770.66,3
Benign04,3265.4,2694.1,3
Benign04,3989.0,3816.3,3
Benign04,2365.5,3774.2,3
Benign04,3231.8,1452.7,3
Benign04,1512.8,3498.4,3
Benign04,4549.1,2596.9,3
Benign04,4392.8,3218.6,3
Benign04,3825.4,2750.4,3
Benign04,2911.0,2805.6,3
Benign04,4302.2,3344.1,3
Benign04,3611.3,3482.3,2
Benign04,3850.5,3075.3,3
Benign04,1584.6,3457.8,3
Benign04,3291.7,5258.0,3
Benign04,4397.8,1495.6,3
Benign04,1761.3,3432.3,3
Benign04,3198.6,3441.3,3
Benign04,2915.4,3219.7,3
Benign04,5185.6,4081.4,3
Benign04,4547.5,3026.9,2
Benign04,3756.8,5372.1,2
Benign04,4504.7,3463.3,3
Benign04,4909.3,4184.5,3
Benign04,4261.3,3299.4,3
Benign04,4946.3,3305.3,3
Benign04,2904.9,1950.7,3
Benign04,3849.7,1222.4,3
Benign04,3226.9,3040.5,3
Benign04,4686.5,2778.0,3
Benign04,2242.9,3995.3,3
Benign04,5528.3,3806.9,3
Benign04,3663.8,4919.9,3
Benign04,2877.0,3212.7,3
Benign04,4947.4,4444.8,2
Benign04,2388.5,4118.2,3
Benign04,4443.8,4692.2,3
Benign04,2860.9,3697.9,3
Benign04,2074.1,2070.8,3
Benign04,2054.4,3424.3,3
Benign04,2506.9,4066.2,3
Benign04,3062.2,2057.3,2
Benign04,1789.1,3619.8,3
Benign04,3498.1,1973.5,3
Benign04,4239.4,3669.5,3
Benign04,2965.6,5071.3,2
Benign04,2632.4,4646.6,2
Benign04,1856.4,2290.6,4
Benign04,3869.1,3618.6,3
Benign04,1760.1,3372.8,3
Benign04,4760.6,3262.3,3
Benign04,3161.1,4840.8,3
Benign04,4050.3,2518.4,3
Benign04,5090.3,2299.7,3
Benign04,4109.3,3123.5,3
Benign04,2670.7,3322.9,3
Benign04,3847.9,1079.6,3
Benign04,5161.6,2268.0,3
Benign04,3587.3,2852.6,3
Benign04,5103.8,3482.7,3
Benign04,5129.5,4126.5,3
Benign04,1726.8,3512.2,3
Benign04,3895.1,3901.1,3
Benign04,1835.1,2239.9,3
Benign04,4183.8,1527.6,3
Benign04,2372.1,3903.9,3
Benign04,4588.4,3871.6,3
Benign04,3651.1,3573.2,3
Benign04,1321.4,2692.4,3
Benign04,3236.7,1879.0,3
Benign04,5528.7,2859.4,3
Benign04,2803.0,3440.5,3
Benign04,4912.3,2837.5,3
Benign04,2769.6,4345.6,2
Benign04,4470.9,1610.7,3
Benign04,2865.0,3599.5,3
Benign04,2662.4,2383.5,3
Benign04,3652.9,2710.9,3
Benign04,774.89,3537.1,3
Benign04,3343.4,5257.4,3
Benign04,3301.8,3578.7,2
Benign04,3339.0,5173.4,3
Benign04,5295.1,3194.5,3
Benign04,3860.7,4706.1,3
Benign04,3361.0,5333.2,3
Benign04,916.22,3269.5,3
Benign04,1946.2,2642.1,3
Benign04,3589.6,5153.1,3
Benign04,1783.5,3111.9,3
Benign04,2304.3,3961.1,3
Benign04,5297.8,3667.7,3
Benign04,5294.8,3540.0,3
Benign04,2980.7,1828.4,3
Benign04,4157.5,1453.9,3
Benign04,4346.7,3841.3,3
Benign04,3327.0,4934.0,3
Benign04,5564.0,3526.5,3
Benign04,3819.6,4748.6,3
Benign04,3161.9,1204.0,3
Benign04,1742.3,2505.5,3
Benign04,5372.4,3497.3,3
Benign04,4306.9,4715.9,3
Benign04,4065.4,2585.5,3
Benign04,3905.5,3875.7,3
Benign04,4496.8,1319.3,3
Benign04,2959.0,901.88,3
Benign04,5190.4,3918.1,3
Benign04,2373.3,4054.9,3
Benign04,4415.6,2891.2,4
Benign04,4726.6,1492.7,3
Benign04,3091.1,1450.8,3
Benign04,1727.6,2340.5,3
Benign04,4230.5,4001.3,3
Benign04,4777.8,2408.0,3
Benign04,2238.9,4147.8,3
Benign04,5021.4,2699.2,3
Benign04,4688.3,1811.3,3
Benign04,1726.0,3490.1,3
Benign04,1985.5,3653.7,3
Benign04,4189.2,4356.1,3
Benign04,4360.0,1568.3,3
Benign04,4022.6,4495.0,3
Benign04,2757.8,3385.5,3
Benign04,5409.3,2812.5,3
Benign04,4538.3,2240.3,3
Benign04,3672.6,3549.4,3
Benign04,3855.6,3944.4,3
Benign04,1921.5,2361.9,3
Benign04,5249.4,2241.7,3
Benign04,4832.6,3663.8,3
Benign04,4555.8,4484.8,2
Benign04,4367.5,3179.8,3
Benign04,3919.9,3621.4,3
Benign04,2909.0,1154.4,3
Benign04,2980.3,1536.3,3
Benign04,4383.9,4163.2,2
Benign04,4367.8,1190.7,3
Benign04,4107.6,3504.5,3
Benign04,4119.0,4829.8,3
Benign04,3661.1,820.43,3
Benign04,3785.6,1640.8,3
Benign04,1881.3,4655.6,3
Benign04,1271.2,3529.8,3
Benign04,3476.8,2452.7,3
Benign04,3428.6,1567.8,3
Benign04,2004.6,3976.0,3
Benign04,4714.4,4252.2,3
Benign04,4083.7,5256.2,3
Benign04,5177.7,3333.2,3
Benign04,2391.6,2829.6,3
Benign04,1917.1,4902.2,3
Benign04,3030.3,5065.1,3
Benign04,3183.3,4600.8,3
Benign04,2878.6,2309.2,3
Benign04,3180.4,4819.9,3
Benign04,2115.0,3477.9,3
Benign04,5037.0,2321.6,3
Benign04,2517.6,3187.1,3
Benign04,1125.4,3362.1,3
Benign04,4421.2,4005.4,2
Benign04,5389.3,3276.4,3
Benign04,3049.3,3577.7,3
Benign04,2408.3,2109.6,3
Benign04,4112.8,5507.1,2
Benign04,4363.6,1326.1,3
Benign04,5495.6,2651.6,3
Benign04,2477.7,4831.5,2
Benign04,4622.2,3245.7,3
Benign04,4458.9,1916.2,3
Benign04,4025.3,3825.3,3
Benign04,4522.2,3702.7,2
Benign04,3718.6,2702.4,3
Benign04,3987.9,3707.1,3
Benign04,1699.1,3473.8,3
Benign04,4772.3,3471.8,2
Benign04,5414.5,3696.1,3
Benign04,2647.1,3296.1,3
Benign04,3365.0,5032.0,3
Benign04,3221.5,959.57,3
Benign04,4298.2,3441.2,3
Benign04,3358.9,1530.1,3
Benign04,3307.2,5567.8,2
Benign04,5061.6,4138.9,3
Benign04,4468.8,2039.5,3
Benign04,4334.9,4619.2,3
Benign04,1860.5,3613.0,3
Benign04,2792.6,3676.7,3
Benign04,2398.9,4922.8,3
Benign04,4134.6,3721.3,3
Benign04,3273.0,2112.4,3
Benign04,3163.1,4899.4,3
Benign04,3332.8,1765.8,3
Benign04,4689.7,3844.4,3
Benign04,4438.0,2981.9,3
Benign04,3566.2,2572.6,3
Benign04,1550.7,3160.6,3
Benign04,2157.9,2791.6,3
Benign04,4473.1,3950.8,3
Benign04,2217.4,2707.0,3
Benign04,3314.4,3230.0,3
Benign04,2229.4,1300.2,3
Benign04,4101.7,1105.8,3
Benign04,3827.4,3936.9,3
Benign04,1726.3,2693.6,3
Benign04,4995.9,3120.7,3
Benign04,5064.2,3854.0,3
Benign04,3170.6,3786.6,3
Benign04,5097.3,2624.6,3
Benign04,3349.8,3178.2,3
Benign04,4218.2,3169.0,3
Benign04,4547.8,3662.7,2
Benign04,2443.3,2072.2,3
Benign04,3478.8,4676.1,3
Benign04,3365.6,5170.3,3
Benign04,2958.4,3308.0,3
Benign04,3901.4,2478.2,3
Benign04,1442.6,3976.4,3
Benign04,2381.0,2260.8,3
Benign04,1727.8,3190.5,3
Benign04,5397.0,2803.8,3
Benign04,4150.5,1437.0,3
Benign04,4366.6,3722.4,2
Benign04,4398.8,2797.9,3
Benign04,4353.4,3735.5,3
Benign04,2974.1,1284.7,3
Benign04,4976.6,3709.2,3
Benign04,5099.7,2975.0,3
Benign04,1387.5,2761.2,3
Benign04,3724.0,2994.0,3
Benign04,4048.7,1325.2,3
Benign04,3056.2,2909.1,3
Benign04,4413.0,1686.5,3
Benign04,3760.4,2880.2,3
Benign04,3450.9,5138.0,3
Benign04,3816.6,4672.0,3
Benign04,3890.3,3662.8,3
Benign04,2752.4,4264.7,3
Benign04,4445.6,3760.0,2
Benign04,4003.5,5554.8,3
Benign04,2968.1,1304.5,3
Benign04,3436.2,1366.6,2
Benign04,1352.5,3344.3,3
Benign04,2468.0,2241.8,3
Benign04,4604.9,3860.9,3
Benign04,4816.4,2756.7,3
Benign04,3313.7,991.05,3
Benign04,3894.1,3471.6,3
Benign04,2050.3,2589.7,3
Benign04,2226.5,1825.1,3
Benign04,3940.9,5335.8,3
Benign04,1157.2,3112.9,3
Benign04,4955.6,2147.5,3
Benign04,2364.7,4335.8,3
Benign04,4283.4,4211.5,2
Benign04,3008.1,1433.8,3
Benign04,2621.4,4304.6,3
Benign04,1562.7,2936.0,3
Benign04,2726.2,1700.0,3
Benign04,3521.0,5389.3,4
Benign04,4859.4,2297.3,3
Benign04,4456.4,3552.0,3
Benign04,3261.8,3581.1,3
Benign04,4408.3,1072.8,3
Benign04,2400.7,4955.3,3
Benign04,3481.5,2513.8,3
Benign04,1770.9,3617.9,3
Benign04,4725.9,2729.0,3
Benign04,3204.6,2020.2,3
Benign04,2441.6,5118.7,3
Benign04,1725.8,3103.1,3
Benign04,1597.0,2639.8,3
Benign04,2206.4,1746.4,3
Benign04,2777.7,5097.3,4
Benign04,2418.7,3744.1,2
Benign04,4734.5,2709.7,3
Benign04,3873.2,5270.8,3
Benign04,1288.4,3207.7,3
Benign04,3805.2,1640.5,3
Benign04,4821.8,1434.6,2
Benign04,4874.0,2827.3,3
Benign04,4941.8,2747.9,3
Benign04,4648.0,3386.1,3
Benign04,4022.5,5327.9,3
