cavity_sigma,repeat,method,ARI,NMI,cavity_precision,cavity_recall,cavity_f1,cavity_iou,cavity_lcc_fraction
0.5,8,8-hop Gaussian,0.5554237656156644,0.6677333229459848,0.9952075082370953,0.6461601624962185,0.7835702587618736,0.6441557882038689,0.4961560222318368
0.5,9,No graph,0.4625242957094501,0.7326356534964065,0.9957452945842648,0.2983707161070055,0.4591570371601961,0.2979908064829402,0.005841205740246629
0.5,9,1-hop Gaussian,0.6443038664198889,0.7817192024867858,0.9998074269024617,0.673127620035438,0.8045715761606509,0.6730403595194884,0.3076034278011362
0.5,9,2-hop Gaussian,0.6312913106582865,0.761859927103502,0.9993288376106619,0.6756558191797398,0.8062191395825544,0.6753493595973995,0.45562338201923996
0.5,9,4-hop Gaussian,0.6068141123846602,0.7232950773768293,0.9970737871180129,0.6479320627511993,0.7854514020772486,0.6467023249795109,0.4595484321484388
0.5,9,8-hop Gaussian,0.5437451360653768,0.6774169772195628,0.9965813183291193,0.6047149833614245,0.7526997404483654,0.6034631474533143,0.4723122395926071
1.0,0,No graph,0.40330620432199143,0.6957721208705899,0.9926501766784452,0.15175677427719433,0.2632654208760519,0.15158644506799052,0.0025441696113074207
1.0,0,1-hop Gaussian,0.4332591251708921,0.7362976247747662,0.9986769304787106,0.17941570508665025,0.30418376318874557,0.17937306919570525,0.018162136155881647
1.0,0,2-hop Gaussian,0.4465096745503147,0.7244274297847728,0.9971928665785997,0.26098794243485024,0.41370097619455387,0.26079633788219037,0.039795244385733154
1.0,0,4-hop Gaussian,0.48614716775843553,0.7059155667023305,0.9961268110744513,0.4501490989238947,0.6200830468366298,0.44936258331715523,0.2506574857743987
1.0,0,8-hop Gaussian,0.47046303538896184,0.665751982430185,0.9976939203354298,0.5141752020398461,0.6786162445813368,0.5135648457902575,0.33245283018867927
1.0,1,No graph,0.40491459140226793,0.6918086670522913,0.9946635042988438,0.21748995202904187,0.3569338794616735,0.21723646723646722,0.0035576638007708272
1.0,1,1-hop Gaussian,0.46863838551764325,0.7426685149058063,0.9978793590951932,0.27453649682354464,0.43060498220640575,0.2743764172335601,0.04131322651586553
1.0,1,2-hop Gaussian,0.4446068342143011,0.7256310390567177,0.9981381178063643,0.2548511171615022,0.4060316039522154,0.2547300215982721,0.04214624238320921
1.0,1,4-hop Gaussian,0.602412586847011,0.7189054550198344,0.9959818535320804,0.6641600760620597,0.7969094350385024,0.6623852420154304,0.45090732339598183
1.0,1,8-hop Gaussian,0.4945355499804229,0.674653144250156,0.9978309768637532,0.5367993431003932,0.6980638997386686,0.5361737028403695,0.3699791131105398
1.0,2,No graph,0.33144026373239044,0.6384373446716225,0.972254844392249,0.1431133583992394,0.24950084761725372,0.14253125874276368,0.002055196711685261
1.0,2,1-hop Gaussian,0.4737101306321134,0.749805032637591,0.9989237392373924,0.28078136479536714,0.43834969470026647,0.2806964486304329,0.027367773677736778
1.0,2,2-hop Gaussian,0.49585154751745947,0.7390221988162734,0.9981841292899946,0.35634642810838846,0.5251994458510486,0.3561155739828971,0.11524726106167907
1.0,2,4-hop Gaussian,0.517579664019563,0.709412511273445,0.9984826132771338,0.5118846968321881,0.6767995657328971,0.5114868074448331,0.2676080084299262
1.0,2,8-hop Gaussian,0.5652405804478262,0.6860537183767983,0.9929694908603381,0.6561649163749513,0.7901742151211959,0.6531305787968081,0.46689120695856906
