method,cluster,n_cluster,n_cavity,cavity_fraction,cavity_recall,cavity_f1,cavity_iou
STAGATE full graph,14,4286,15,0.0034997666822211854,0.0015728216420257944,0.002170295883672141,0.0010863267670915412
STAGATE full graph,15,7656,113,0.014759665621734587,0.011848589703260984,0.013144884546036179,0.006615925058548009
STAGATE full graph,16,2106,624,0.2962962962962963,0.06542938030827304,0.10718886884823499,0.05662945820854887
STAGATE full graph,17,12348,234,0.018950437317784258,0.024536017615602392,0.021384509938313912,0.010807814881529721
STAGATE full graph,2,6807,53,0.007786102541501395,0.005557303135157806,0.006485560450318159,0.0032533300595420783
STAGATE full graph,3,10920,8,0.0007326007326007326,0.0008388382090804236,0.000782128366818204,0.00039121717443395764
STAGATE full graph,4,13314,393,0.029517800811176206,0.04120792702107581,0.03439674412498359,0.01749933208656158
STAGATE full graph,5,6969,2620,0.3759506385421151,0.2747195134738387,0.31746031746031744,0.18867924528301888
STAGATE full graph,6,4186,970,0.23172479694218825,0.10170913285100136,0.14136850542884208,0.0760605347761311
STAGATE full graph,7,2267,1,0.0004411116012351125,0.00010485477613505295,0.00016943409013893597,8.472422265525714e-05
STAGATE full graph,8,3226,7,0.0021698698078115313,0.0007339834329453706,0.001096920786648907,0.0005487613671997492
STAGATE full graph,9,8238,875,0.10621510075260986,0.09174792911817133,0.09845288326300984,0.051775147928994084
GraphST sampled,0,459,198,0.43137254901960786,0.020761245674740483,0.03961584633853541,0.02020820575627679
GraphST sampled,1,4798,1,0.00020842017507294707,0.00010485477613505295,0.00013951866062085805,6.976419701409237e-05
GraphST sampled,10,4747,1752,0.3690752053928797,0.18370556778861277,0.2453094371324559,0.13980210660708586
GraphST sampled,11,1885,158,0.08381962864721486,0.016567054629338367,0.0276659078970408,0.014026988636363636
GraphST sampled,12,3225,20,0.006201550387596899,0.002097095522701059,0.0031343049678733735,0.0015696123057604772
GraphST sampled,13,1583,0,0.0,0.0,0.0,0.0
GraphST sampled,14,833,780,0.936374549819928,0.0817867253853413,0.15043394406943103,0.08133472367049009
GraphST sampled,15,2167,0,0.0,0.0,0.0,0.0
GraphST sampled,16,13652,2305,0.168839730442426,0.24169025899129706,0.19880115572038465,0.11037157632637426
GraphST sampled,17,14802,69,0.004661532225374949,0.007234979553318654,0.005669912486133366,0.002843016069221261
GraphST sampled,2,3084,14,0.004539559014267186,0.0014679668658907413,0.0022185246810870773,0.001110494169905608
GraphST sampled,3,13511,603,0.0446303012360299,0.06322743000943692,0.05232558139534883,0.026865671641791045
GraphST sampled,4,16922,258,0.015246424772485521,0.027052532242843663,0.019501870819002988,0.009846952406396702
GraphST sampled,5,10836,0,0.0,0.0,0.0,0.0
GraphST sampled,6,13377,477,0.035658219331688716,0.05001572821642026,0.041633935585231735,0.02125952667468913
GraphST sampled,7,1381,146,0.1057204923968139,0.01530879731571773,0.026744825059534714,0.013553657630894913
GraphST sampled,8,2619,2158,0.8239786177930508,0.22627660689944426,0.3550510036196117,0.21584316863372674
GraphST sampled,9,3576,598,0.16722595078299776,0.06270315612876166,0.09120719896286128,0.047782660807031564
STAGATE sampled,0,6942,88,0.012676462114664363,0.00922722029988466,0.010680259724497848,0.0053687999511927275
STAGATE sampled,1,10584,0,0.0,0.0,0.0,0.0
STAGATE sampled,10,3675,9,0.0024489795918367346,0.0009436929852154766,0.001362397820163488,0.0006816632583503749
STAGATE sampled,11,7355,61,0.008293677770224337,0.00639614134423823,0.007222353776935827,0.0036242647495692473
STAGATE sampled,12,1815,391,0.21542699724517905,0.040998217468805706,0.06888653981677237,0.03567192774381899
STAGATE sampled,13,3352,0,0.0,0.0,0.0,0.0
STAGATE sampled,14,5242,387,0.07382678367035482,0.04057879836426549,0.052371608363218074,0.0268899388549194
STAGATE sampled,15,7425,116,0.015622895622895623,0.012163154031666143,0.013677632354675158,0.00688590763385967
STAGATE sampled,16,6645,17,0.002558314522197141,0.0017825311942959,0.002101099987640588,0.0010516548097742036
STAGATE sampled,17,8008,15,0.0018731268731268732,0.0015728216420257944,0.0017098888572242804,0.0008556759840273817
STAGATE sampled,2,9768,0,0.0,0.0,0.0,0.0
STAGATE sampled,3,13160,295,0.022416413373860182,0.03093215895984062,0.025994624840287264,0.013168467101151682
STAGATE sampled,4,4285,956,0.22310385064177363,0.10024116598511063,0.1383301982346983,0.07430436810197419
STAGATE sampled,5,3095,1616,0.5221324717285946,0.16944531823424558,0.2558581380620646,0.1466957153231663
STAGATE sampled,6,4148,107,0.02579556412729026,0.011219461046450666,0.015637559371574718,0.007880394756223302
STAGATE sampled,7,4040,2877,0.7121287128712871,0.30166719094054734,0.4238049642778227,0.2688785046728972
STAGATE sampled,8,7403,133,0.017965689585303254,0.013945685225962042,0.015702479338842973,0.007913369429404415
STAGATE sampled,9,6515,2469,0.3789716039907905,0.2588864422774457,0.30762521804136556,0.18177133181182362
